Nombre,Seguidores,Favoritos,N°Listas
Gustavo Bolivar,1582670,65284,1533
Carlos Galan,591749,14894,986
Diego Molano,160034,13995,425
Jorge Robledo,1270280,9501,1816
Jorge Luis Vargas,4468,47,8
Juan Oviedo,119655,65125,143
Rodrigo Lara,183225,24506,593
